_Name,NumberOfUsers,AverageTenure
Famous Question,418852,1635.1295732144051
Fanatic,27621,863.2758408457333
Great Answer,25009,1969.9728897596865
Unsung Hero,21079,825.649224346506
Electorate,12123,1242.37523715252
Populist,10928,1716.4065702781845
Publicist,2749,2408.6024008730446
Steward,1566,1200.8582375478927
Great Question,714,882.1190476190476
Copy Editor,344,751.4854651162791
